,clusters,Latitude,Longitude,geometry
25227,2,10.061488,124.97829399999999,POINT (124.978294 10.061488)
25228,2,10.69777778,124.8322222,POINT (124.8322222 10.69777778)
25231,0,10.99982187,124.8889012,POINT (124.8889012 10.99982187)
25232,2,11.215098199999998,124.39418119999999,POINT (124.3941812 11.2150982)
25233,0,11.54916667,124.4321,POINT (124.4321 11.54916667)
25234,2,11.57416667,124.48666670000001,POINT (124.4866667 11.57416667)
25236,2,12.13097,124.65906100000001,POINT (124.659061 12.13097)
25238,2,11.48749039,124.38520459999998,POINT (124.3852046 11.48749039)
25239,0,12.55305551,124.3117619,POINT (124.3117619 12.55305551)
25240,0,11.980271,124.410671,POINT (124.410671 11.980271)
25241,2,11.974173,124.74758899999999,POINT (124.747589 11.974173)
25242,1,11.0109427,124.9761231,POINT (124.9761231 11.0109427)
25245,2,11.48119079,124.39250449999999,POINT (124.3925045 11.48119079)
25246,2,11.56394722,124.92705829999998,POINT (124.9270583 11.56394722)
25247,0,11.564798,124.925358,POINT (124.925358 11.564798)
25248,0,12.4454284,124.25977250000001,POINT (124.2597725 12.4454284)
25249,1,11.25380568,124.57160309999999,POINT (124.5716031 11.25380568)
25251,2,11.29064752,124.48612539999999,POINT (124.4861254 11.29064752)
25252,1,12.460742,124.643534,POINT (124.643534 12.460742)
25253,0,11.3487,125.4832,POINT (125.4832 11.3487)
25254,0,10.31037025,124.8936981,POINT (124.8936981 10.31037025)
25256,2,11.7783,125.0225,POINT (125.0225 11.7783)
25257,2,11.77096,125.0237,POINT (125.0237 11.77096)
25259,1,12.46507264,124.9718857,POINT (124.9718857 12.46507264)
25261,2,11.10760335,124.8897347,POINT (124.8897347 11.10760335)
25262,2,12.52674759,125.07196429999999,POINT (125.0719643 12.52674759)
25263,2,11.27148325,124.40140349999999,POINT (124.4014035 11.27148325)
25264,1,12.39030562,124.9040794,POINT (124.9040794 12.39030562)
25265,0,11.14781209,124.77460220000002,POINT (124.7746022 11.14781209)
25267,2,11.63996,124.8425,POINT (124.8425 11.63996)
25268,2,7.453964999999999,123.39895200000001,POINT (123.398952 7.453964999999999)
25269,0,7.390930738,122.8891683,POINT (122.8891683 7.390930738)
25270,2,7.918046,123.63249099999999,POINT (123.632491 7.918046)
25271,2,7.851354457999999,122.5837922,POINT (122.5837922 7.851354457999999)
25273,1,7.805057457,122.6854919,POINT (122.6854919 7.805057457)
25275,1,6.700449000000001,121.95921299999999,POINT (121.959213 6.700449000000001)
25276,2,8.072147,123.521419,POINT (123.521419 8.072146999999999)
25277,2,8.351464,123.53405,POINT (123.53405 8.351464)
25278,0,7.891322,123.42188999999999,POINT (123.42189 7.891322)
25279,2,7.5311762689999995,122.98659070000001,POINT (122.9865907 7.531176268999999)
25280,2,8.058975,123.526018,POINT (123.526018 8.058975)
25281,2,7.505878245,122.94139059999999,POINT (122.9413906 7.505878245)
25282,0,8.120923,123.448879,POINT (123.448879 8.120922999999999)
25283,0,8.650014,123.41684099999999,POINT (123.416841 8.650014000000001)
